id,age,expierense_years,salary,city_index,tax_number
259,31,6,1989.56,7871,901940
260,21,12,1007.68,7972,86589
261,32,4,1718.19,6790,416892
262,16,9,2860.33,5804,996649
263,19,9,1123.37,6343,361132
264,16,17,2649.58,5822,132595
265,34,1,1380.01,7624,411034
266,35,18,2477.25,8999,149969
267,25,4,1829.5,6711,913792
268,48,2,696.29,9530,355
269,27,11,2103.48,7650,866554
270,33,11,2905.62,9474,54656
271,29,11,2528.6,6945,10216
272,44,18,1616.41,5383,637152
273,57,12,1995.2,7340,623233
274,23,10,1654.97,5923,148099
275,57,10,2759.35,5679,989694
276,36,14,1822.65,9486,778070
277,60,9,995.04,7513,828397
278,59,5,2530,6423,552439
279,52,11,671.49,5197,61616
280,45,18,2436.17,8029,535637
281,35,15,337.29,7689,886378
282,56,11,1094.63,9190,825308
283,17,7,798.03,9081,250259
284,41,12,877.27,6586,811079
285,43,3,2342.57,9290,349298
286,47,10,2488.48,7715,263249
287,40,10,831.31,9601,895544
288,21,0,2233.43,5656,636189
289,50,5,2352.47,5440,96999
290,29,18,1718.33,5925,919490
291,16,8,1365.26,9847,774960
292,28,17,2829.26,5730,387929
293,31,1,2714.37,9182,864367
294,25,12,2668.89,6464,547564
295,27,18,1276.2,7382,902436
296,31,13,185,9309,638549
297,22,9,219.09,9415,351902
298,59,9,2350.63,6435,624501
299,29,20,2686.78,5856,481529
300,26,8,2946.83,6577,758734
301,21,12,2055.08,6303,730289
302,16,0,1804.38,9671,903142
303,28,0,2969.06,8762,504851
304,44,15,2178.34,7614,448653
305,21,6,2275.51,8039,450813
306,20,11,675.99,7421,358177
307,56,13,658.78,9380,644386
308,36,16,944.77,8012,867801
309,31,4,197.99,8472,793754
310,34,15,2020.85,8838,237180
311,36,4,863.21,5630,347071
312,49,4,983.17,7247,573907
313,47,14,1445.88,7275,937414
314,38,12,1126.38,8504,567108
315,58,14,2391.49,9480,524563
316,47,0,568.07,5565,252458
317,42,4,1409.92,6844,955718
318,60,7,459.2,5064,248151
319,55,16,1058.49,9057,451246
320,28,4,1956.62,9359,661723
321,56,10,917.02,5579,136676
322,35,19,212.29,9024,852671
323,59,0,2930.82,8162,596830
324,26,16,2396.66,5382,12891
325,21,17,362.13,7161,292179
326,23,6,1777.83,7037,782593
327,17,6,439.09,6681,995786
328,27,1,541.15,7610,727799
329,45,12,2083.74,5751,781879
330,21,16,2658.19,5128,348950
331,29,2,2448.58,7547,604416
332,25,1,986.63,9515,860604
333,47,11,2889.49,8566,39438
334,42,0,1387.36,5694,870781
335,50,3,2786.19,5484,523984
336,33,17,2315.82,7631,14215
337,60,1,2516.06,9477,543620
338,37,17,1326.05,5116,116829
339,20,5,1730.72,6818,744970
340,42,9,2489.89,5877,266076
341,58,1,1226.18,5598,504043
342,16,18,934.07,7252,167233
343,60,0,2769.58,5446,961589
344,19,8,2613.87,9701,791939
345,35,13,1743.37,8457,128337
346,53,11,1559.07,9549,628044
347,56,10,1276.52,9109,639079
348,60,0,602.9,5676,709703
349,38,9,1138.36,7098,76053
350,56,1,1722.25,6638,768840
351,58,11,2903.93,7045,143868
352,27,14,1583.22,6298,611096
353,23,20,1462.6,6034,651761
354,41,15,2029.18,7226,826094
355,39,5,2687.67,9896,720229
356,34,9,1364.89,6986,666708
357,32,2,133.54,7239,40379
358,52,11,1162.09,8601,99665
359,22,13,1943.58,7203,342144
360,34,19,14.43,7039,101416
361,60,19,166.9,7090,989220
362,35,1,965.56,5613,782670
363,22,4,1597.26,7102,793857
364,35,1,2239.74,5926,857077
365,30,20,455.8,6511,907879
366,31,9,2725.87,6181,415236
367,54,6,63.09,7788,973231
368,50,15,2627.4,8555,714763
369,45,0,1786.17,7841,632476
370,59,10,2694.64,8187,434442
371,42,10,2805.85,6008,75850
372,20,16,1975.32,8915,622466
373,37,16,1926.5,5886,73060
374,38,9,714.54,9586,481885
375,51,2,2617.56,5881,615970
376,55,6,253.69,5344,835469
377,36,15,2347.44,5211,141873
378,26,8,739.45,9977,641057
379,60,14,2970.64,8400,95647
380,33,12,1546.55,7946,262591
381,27,0,2254.46,6023,463297
382,56,14,2403.89,8194,62981
383,49,11,1916.38,8439,582297
384,32,15,1327.66,6383,527018
385,43,4,977.81,5755,775318
386,16,1,1984.95,5540,55379
387,50,4,181.5,5872,49618
388,52,15,2910.84,5439,451116
389,38,12,1042.6,7955,413951
390,37,16,2007.93,9356,620458
391,59,2,1679.97,9903,807887
392,22,3,114.64,8636,224021
393,49,2,1937.99,6303,333513
394,35,3,1394.24,9590,493741
395,54,14,2447.38,6674,1889
396,29,7,2476.95,5013,783839
397,19,11,875.85,5010,460051
398,38,13,1047.04,6068,487413
399,45,12,1843.39,6429,158378
400,31,1,1970.18,6112,738566
401,27,6,872.76,9820,594906
402,38,10,1922.45,8463,62227
403,44,8,1349,8282,830349
404,18,2,1820.77,6838,410104
405,18,9,90.79,6874,717876
406,27,13,2981.92,5468,547936
407,35,3,2487.06,5030,253055
408,41,10,2557.29,9580,834265
409,34,14,191.39,6348,358771
410,27,18,1573.35,6226,747738
411,60,19,235.8,5943,541278
412,49,10,2642.09,7557,743621
413,39,11,2018.7,8953,776917
414,27,17,2632.32,8908,722664
415,21,2,2717.63,7429,388895
416,31,16,1286.59,9998,477834
417,50,19,2386.56,8052,475628
418,40,18,743.6,8764,21756
419,49,3,1248.58,8064,524199
420,58,16,343.07,7231,402524
421,38,20,2215.49,5653,581446
422,27,14,277.57,9247,838639
423,24,0,2559.3,7321,364191
424,32,9,1745.43,5899,390206
425,43,9,2405.82,8669,739269
426,42,5,427.12,5720,746726
427,46,17,389.67,8195,824938
428,56,14,2288.04,5091,301284
429,56,10,1332.96,5734,742378
430,49,2,1713.35,5578,476057
431,41,17,1412.57,8820,97135
432,45,4,506.19,9433,26220
433,34,9,1783.07,6963,363225
434,37,13,877.51,7505,443039
435,48,3,288.88,5124,1881
436,56,20,2367.22,5803,64930
437,40,12,2529.92,5388,366218
438,48,3,538.98,6388,627221
439,23,12,1310.74,9562,87714
440,36,8,463.06,8534,935829
441,40,5,2706.16,6490,466575
442,36,6,258.4,6665,477490
443,36,17,2370.5,6184,844667
444,38,20,912.1,5062,249413
445,27,16,1988.49,9272,482253
446,46,8,1282.34,5813,940468
447,56,2,2585.07,9482,779748
448,59,12,84.16,7572,163783
449,16,12,2243.22,8375,527595
450,18,16,635.12,9679,734295
451,53,3,1410.35,5886,411744
452,59,4,1108.91,6582,7105
453,20,3,2653.29,8954,488711
454,58,2,826.54,6806,976716
455,30,6,180.24,9532,727069
456,48,15,1240.93,7881,477555
457,27,1,844.2,9013,895651
458,39,15,1864,6881,943742
459,56,0,927.99,5806,878072
460,58,5,400.68,9535,287536
461,35,18,445.29,7573,470805
462,43,16,2466.72,9273,454893
463,24,1,1990.48,8785,915755
464,41,14,2754.46,7895,386822
465,29,17,2962.43,8542,539092
466,58,3,2329.82,9838,37708
467,27,17,1943.53,8986,790491
468,41,0,2731.6,6510,499378
469,53,3,2733.09,8516,832886
470,28,5,2863.24,6385,901524
471,17,10,1368.66,8642,287607
472,53,16,2979.1,5329,141693
473,29,20,2671.39,9751,373233
474,34,4,1323.59,5863,12057
475,22,20,1015.39,6727,742970
476,38,1,2286.23,7031,666492
477,52,11,745.88,8342,981220
478,26,12,674.29,5481,99091
479,42,8,2030.44,7145,707042
480,54,2,729.18,6505,289010
481,56,7,1203.95,9390,946304
482,16,11,466.74,7696,827342
483,22,16,1629.04,8142,398308
484,53,20,1734.21,6436,95785
485,50,11,245.83,9601,433338
486,16,3,1124.22,9156,667791
487,29,7,1470.24,6190,519089
488,17,15,2780.46,8436,679738
489,20,11,320.51,8774,177566
490,31,12,1049.7,6591,807315
491,29,17,690.29,9163,812912
492,55,11,377.85,5310,994820
493,34,0,2125.85,8472,782820
494,22,2,1239.73,5258,57680
495,39,11,51.86,5864,80875
496,31,15,1565.45,5628,168049
497,38,3,2813.63,5968,543139
498,28,5,1400.16,5852,530418
499,47,8,828,6629,945039
500,36,11,1257.95,5306,227336
501,60,12,2879.79,8151,138752
502,58,0,196.08,9916,390163
503,43,4,908.69,6559,588690
504,25,11,1504.74,6910,752603
505,27,7,2490.9,8509,743803
506,49,13,666.8,5084,188138
507,20,5,836.04,7318,424521
508,35,5,2452.97,9518,872197
509,25,18,1176.34,6900,186082
510,42,6,1286.18,5004,176526
511,43,16,69.74,9692,89271
512,44,14,2829.38,8909,77328
513,42,11,199.19,6407,658582
514,45,18,232.64,7764,542038
515,44,20,1373.42,9487,535681
516,47,8,445.68,7577,658900
517,31,5,2749.48,6580,142484
518,50,4,946.23,9153,110996
519,41,6,534.72,8088,849477
520,48,8,1786.72,6672,450584
521,53,13,460.11,5440,610
522,47,9,1573.31,8431,150586
523,22,9,490.47,9070,387605
524,19,7,2687.04,7869,248423
525,54,7,2651.56,5570,957102
526,27,8,2459.82,5874,635117
527,32,10,2899.39,7947,517476
528,24,15,2142.87,5091,371457
529,17,19,58.48,5543,124620
530,59,18,1128.93,5910,682920
531,60,3,2341.37,8220,954117
532,35,11,1481.03,5054,504026
533,21,11,618.22,9220,564107
534,44,18,2551.77,8563,397859
535,49,20,2347.26,7244,513385
536,23,9,2634.71,8596,110576
537,19,6,2452.3,8049,600235
538,40,0,943.36,5217,849070
539,21,18,2166.19,8732,801356
540,31,10,307.33,6173,303888
541,46,17,1331.19,5015,682224
542,17,7,2622.46,7094,162253
543,56,16,1446.78,7859,166464
544,52,11,2161.16,8108,945251
545,34,18,1129.81,8698,657174
546,27,16,2413.57,8774,674894
547,21,14,2037.3,5443,403309
548,19,10,848.46,9726,700318
549,20,12,282.03,6620,872466
550,19,0,441.49,9520,264281
551,60,4,2353.19,9216,146855
552,22,1,1901.79,6538,788584
553,23,0,659.64,8709,296750
554,18,12,903.18,5743,480645
555,32,10,2546.29,8392,993470
556,25,10,302.75,9933,307086
557,28,11,2979.79,5828,466402
558,23,1,2127.2,5161,569782
559,45,10,2590.8,9136,38649
560,28,0,500.88,7764,465083
561,18,10,650.46,8876,453911
562,52,3,1812.8,8102,307738
563,29,5,2531.7,7490,261746
564,42,8,944.08,7703,908990
565,42,3,909.59,6663,907207
566,17,11,196.97,8906,547430
567,28,17,2430.53,9925,532461
568,51,9,2088.58,8703,500307
569,18,14,1672.97,5724,306089
570,20,7,1697.02,6356,672211
571,39,5,2194.71,9080,913401
572,24,18,1720.32,5364,801952
573,26,19,897.08,9666,869795
574,50,16,623.44,6050,597962
575,52,4,118.82,6484,581200
576,37,3,2391.74,7296,508085
577,44,16,2238.25,8147,294153
578,35,0,2725.54,8073,725286
579,53,0,1041.14,8332,240005
580,32,20,429.8,9817,973056
581,29,17,1421.73,5670,955127
582,49,20,1566.68,6181,538801
583,19,7,310.75,9418,117951
584,34,2,2662.36,6457,319532
585,50,18,2949.96,9874,758909
586,27,3,808.53,5532,123571
587,33,2,2747.09,6061,273830
588,17,1,1804.45,5794,295950
589,32,5,1635.33,5837,469628
590,35,14,603.69,8422,515751
591,50,14,1111.49,6639,485095
592,42,19,1564.41,7110,860370
593,50,4,907.18,8574,179043
594,54,12,575.99,6113,451096
595,54,18,2352.68,9670,222269
596,56,17,130.6,5486,880591
597,53,14,1049.5,7873,69282
598,58,14,2676.72,5688,643083
599,28,9,2046.82,7308,260709
600,38,7,1964.93,5736,631294
601,18,14,1812.45,8035,729676
602,18,8,2300.91,7738,437960
603,44,1,773.38,9804,68754
604,43,17,1297.51,7636,356879
605,19,13,1945.06,5178,220073
606,53,4,938.57,9323,445151
607,45,20,843.86,5086,689121
608,33,3,1513.23,9084,515219
609,18,17,2774.57,5960,278548
610,48,13,1002.33,6481,470038
611,17,1,106.71,5960,992063
612,39,1,1102.73,9366,867690
613,26,0,165.15,5098,60835
614,28,7,1341.7,6581,209721
615,19,18,551.21,6306,180397
616,48,9,818.17,6723,869777
617,19,0,1830.23,9803,809433
618,20,9,2003.63,7075,201809
619,28,10,1410.17,8943,598118
620,46,19,2706.02,9220,927129
621,20,18,506.76,9757,700190
622,25,18,2425.66,5453,95500
623,42,10,2140.85,6171,37517
624,32,4,2774.06,6937,478516
625,45,12,2821.08,7171,221585
626,41,6,2624.71,7834,553713
627,31,13,944.7,9003,770049
628,41,19,2939.82,6790,764544
629,54,14,880.53,6982,535640
630,31,18,186.3,6919,438847
631,48,13,2548.56,7944,506421
632,56,14,709.22,7681,625928
633,28,20,1374.41,5477,269434
634,24,3,1325.7,5393,393782
635,30,19,2453.73,5166,786603
636,27,8,202.37,5633,430828
637,48,12,2270.02,7864,492941
638,19,3,1633.5,7514,802465
639,16,9,88.6,6392,790921
640,20,11,888.23,5997,742459
641,23,14,2230.05,9226,717824
642,59,13,632.34,6397,35764
643,20,9,1804.68,9848,530055
644,49,14,1170.42,5635,204193
645,46,4,2205,5920,322766
646,53,9,2178.06,7634,636754
647,31,11,2400.89,6784,290341
648,20,20,170.12,6287,503607
649,25,7,1633.02,7880,535534
650,29,14,2495.29,5254,9867
651,41,14,845.54,6397,83475
652,53,1,1430.75,7354,758225
653,53,4,2052.62,6727,224324
654,50,3,1543.16,8664,885910
655,33,17,2378.51,9754,201944
656,17,10,2126.04,6907,845683
657,45,3,2442.9,6200,43228
658,52,0,2498.14,7872,617076
659,56,10,815.19,8654,355235
660,40,4,1611.79,9024,383361
661,31,2,1943.77,5074,177960
662,41,16,960.57,7577,298704
663,20,10,880.92,7376,57106
664,31,8,1153.51,8497,965347
665,36,2,2182.06,5914,707549
666,52,7,2561.42,8910,916223
667,36,1,2125.38,7285,958149
668,23,6,1111.75,7757,105246
669,53,19,1465.36,6185,960327
670,31,15,568.35,6618,261917
671,52,11,2514.1,5089,485179
672,50,4,467.75,5993,694210
673,44,5,2101.8,6109,469146
674,29,16,1164.56,8608,839463
675,46,11,1485.36,5491,257978
676,22,1,510.11,5698,800539
677,27,7,2563.03,7854,518468
678,18,16,2564.87,9259,732269
679,33,18,1512.19,8749,956502
680,22,19,389.26,7272,725886
681,35,15,2655.48,6529,566359
682,29,18,425.01,6312,164571
683,23,0,220.44,5840,567211
684,48,17,248.82,9013,738538
685,30,8,2343.85,9465,788024
686,52,15,2924.45,8089,411669
687,20,18,2355.36,9918,722034
688,59,3,2852.13,6847,483465
689,30,9,497.81,9995,551805
690,52,14,1013.02,8176,763553
691,33,14,2174.82,8105,371623
692,18,3,2792.25,7704,721152
693,35,10,179.66,7378,928680
694,43,14,599.37,8932,516670
695,50,10,1841.09,6914,703730
696,51,1,2063.4,8332,201407
697,38,20,2845.9,9683,771093
698,38,8,78.74,6765,82351
699,32,1,279.55,8370,885175
700,43,4,195.57,6104,239220
701,54,17,316.02,5812,85173
702,48,2,1641.99,6087,75568
703,25,12,1967.48,9031,687888
704,25,2,2338.92,8471,102868
705,51,2,2038.17,8153,19546
706,56,9,2997.1,9700,20638
707,31,11,2434.83,8345,712861
708,42,0,2510.4,6875,159985
709,57,9,2870.33,5375,853469
710,25,18,1653.07,6387,702716
711,21,6,680.92,9087,194297
712,43,13,334.1,7570,593370
713,57,15,331.54,9778,267322
714,17,18,303.87,9773,768203
715,23,6,2044.33,7487,846659
716,54,0,2632.93,6239,416595
717,27,15,2833.52,8001,399289
718,44,6,1912.74,9912,188913
719,45,0,305.62,9982,693361
720,51,10,1972.41,5702,452741
721,54,0,491.13,9426,575043
722,59,10,2044.06,6788,578732
723,36,13,781.07,8738,245150
724,31,10,1138.85,5155,671594
725,51,10,1243.71,9897,241711
726,58,0,757.33,8899,955392
727,28,19,2700.74,9828,347101
728,58,0,2880.84,8878,7859
729,46,11,2120.11,5194,328008
730,17,2,1130.76,7280,638533
731,28,2,1617.82,7177,899658
732,20,6,2684.04,8807,533545
733,47,18,1482.07,8936,930431
734,42,2,2764.74,8447,281028
735,29,2,1208.33,9640,924884
736,26,6,2288.12,9754,768659
737,25,8,1984.78,9894,675715
738,47,13,932.32,7175,432265
739,60,7,1908.42,5990,782079
740,52,19,1749.41,8392,349642
741,45,3,1365.9,9248,115227
742,42,11,2760.74,7098,717620
743,18,1,2473.95,7788,428781
744,27,12,974.62,7860,841169
745,50,2,328.6,9660,522899
746,19,1,2775.47,8659,425553
747,16,18,2374.05,7624,45422
748,17,11,2980.51,8445,148010
749,58,11,2467.65,9694,741160
750,33,2,553.86,9344,460542
751,19,7,1832.67,8280,529679
752,40,8,1683.01,6814,665625
753,45,20,2527.17,6968,789239
754,19,18,1321.69,8666,691032
755,16,14,2719.03,6735,346470
756,46,16,2005.56,6613,510172
757,57,15,328.44,8705,717820
758,24,14,1600.36,7967,392112
759,17,13,845.6,9997,358370
760,46,0,1340.49,7317,683373
761,59,15,961.47,7161,547142
762,37,19,1025.92,9530,197125
763,51,15,1544.12,8417,655967
764,31,15,2013.02,8102,47793
765,31,0,557.59,7517,966387
766,16,9,451.8,6634,399369
767,33,16,2198.32,9160,310092
768,31,8,61.47,6524,688298
769,56,1,1032.35,9727,431925
770,28,5,1278.32,9672,877562
771,44,10,2963.12,7664,705975
772,24,8,1162.8,8359,481859
773,47,16,2169.76,7936,252036
774,27,1,1714.36,7001,226217
775,19,9,1355.24,7387,855721
776,30,13,403.31,6436,709870
777,45,17,2349.33,8675,430335
778,31,18,2349.97,6010,809773
779,60,10,2677.48,5089,171307
780,30,5,84.45,9401,353849
781,49,6,2757.8,8446,401859
782,52,9,127.79,5108,956778
783,42,4,797.07,6984,947393
784,31,6,2150.23,5603,980733
785,33,1,1462.49,5326,657131
786,26,15,1828.43,7612,540273
787,51,11,1620.94,7800,658998
788,31,10,1659.85,7249,112724
789,48,9,2655.55,6554,53744
790,17,0,450.36,9665,440472
791,59,3,244.69,5086,932645
792,59,1,2945.43,8520,587556
793,55,7,1294.78,6133,514177
794,42,18,2002.12,5208,163910
795,47,1,519.47,7461,183321
796,60,17,2894.27,7415,43609
797,23,16,654.07,8063,783567
798,45,15,2118.99,6330,353714
799,53,16,737.89,7502,897145
800,35,19,77.24,7868,832493
801,30,19,1412.8,8543,918561
802,42,1,2907.82,8040,362211
803,34,5,1565.06,7628,961464
804,23,2,257.36,7318,67782
805,28,14,1855.2,7932,942953
806,29,17,2903.21,7380,238573
807,45,8,645.99,7149,580927
808,27,0,895.15,8929,399682
809,20,11,39.1,6229,597884
810,48,12,1202.83,7391,767145
811,23,18,2559.52,6408,707473
812,27,14,698.32,5400,664203
813,56,16,1540.04,6865,935425
814,53,2,1946.96,5705,592468
815,53,19,1167.42,5005,949651
816,46,7,1432.78,7433,899116
817,50,11,1687.79,5094,577938
818,43,15,2432.59,7002,936368
819,60,7,2106.86,5035,219435
820,29,1,882.06,8750,264322
821,34,19,1879.9,8280,719761
822,30,8,672.78,8762,142511
823,52,12,584.71,8121,261639
824,27,1,553.69,6567,247013
825,31,10,2210.08,7331,988024
826,32,2,2331.81,7691,612858
827,22,16,1821.67,9611,365331
828,41,11,213.8,7179,115183
829,57,15,2481.12,7483,943221
830,28,3,172.64,7427,787709
831,17,2,839.22,7197,206626
832,33,2,1281.72,7612,775546
833,28,5,24.5,6025,886092
834,46,5,2529.37,5254,403886
835,59,11,1150.77,8187,711098
836,60,2,1894.48,5877,636596
837,44,0,2670.88,8887,711661
838,20,4,2802.06,8342,109442
839,55,0,569.69,7612,91259
840,42,18,2496.58,8435,666754
841,17,20,1611.8,6810,226118
842,55,7,216.48,5882,289438
843,38,20,1844.71,6121,403523
844,49,13,2983.44,5805,476805
845,53,13,1202.64,6995,504196
846,50,11,1754.04,5042,168574
847,29,2,2514.99,8507,342045
848,55,8,2163.15,6039,476295
849,32,3,1188.01,7173,915195
850,45,0,2134.86,5257,765896
851,56,3,2321.01,7354,498443
852,56,1,2817.16,5058,754981
853,19,5,432.89,7796,314394
854,18,15,2506.1,5311,233759
855,30,20,2276.33,7636,94910
856,35,19,1822.4,8620,746358
857,34,11,1757.3,7644,636672
858,33,14,338.47,6966,832997
859,21,4,1742.68,7618,217895
860,57,8,2644.42,6656,802979
861,23,7,15.15,5517,66028
862,57,8,1087.62,5058,758740
863,43,11,886.83,9502,978303
864,18,6,1106.36,9632,698329
865,22,5,1795,7231,752977
866,22,19,2968.17,6046,23616
867,45,7,1430.78,7328,38345
868,55,13,665.89,8204,971877
869,24,4,539.71,9125,706648
870,23,9,2.8,8694,84218
871,59,20,1447.18,6739,901473
872,55,14,131.1,8304,747797
873,43,12,2688,5085,925135
874,47,0,102.43,6029,292944
875,34,11,2819.47,5648,758415
876,20,15,1911.81,5200,174764
877,28,11,1466.18,5176,861519
878,56,0,205.69,7944,63797
879,28,14,1990.67,7270,124438
880,19,20,501.9,6155,240808
881,45,8,1409.65,9817,174072
882,41,19,2885.21,5615,277454
883,44,12,327.64,5131,126134
884,41,14,1463.32,6986,728140
885,55,13,1106.26,9685,156546
886,41,19,2331.14,7767,31232
887,29,5,2665.01,7781,137832
888,51,5,816.38,8335,993802
889,41,18,1872.44,5715,507838
890,31,6,2425.57,6493,997105
891,42,1,509.02,9003,944912
892,31,1,242.16,5784,856709
893,52,6,2864.07,8762,71535
894,32,19,637.52,9902,953978
895,60,7,860.5,5049,488616
896,58,14,2531.91,7504,556750
897,28,8,687.28,6900,652658
898,47,15,834.49,5880,233256
899,51,13,2919.87,6223,85667
900,39,12,2768.17,7768,909438
901,54,19,1237.59,5714,622147
902,55,8,66.58,9125,253520
903,28,5,2588.84,7672,976949
904,43,14,690.12,9314,212013
905,41,9,916.78,5459,405983
906,60,2,658.24,7688,711288
907,23,3,2973.71,9178,549599
908,19,11,2657.65,6973,406903
909,37,13,117.57,5756,633441
910,56,12,1701.74,5565,908320
911,54,7,419.52,5167,725864
912,46,0,376.35,6225,356196
913,30,16,127.15,6315,53711
914,20,14,1719.11,6773,558329
915,50,16,2975.34,7414,951084
916,50,12,2509.77,9972,604295
917,43,4,526.11,9389,967935
918,32,15,870.62,6320,853511
919,16,17,2009.9,7470,240913
920,40,1,64.83,7134,218131
921,49,11,32.09,9803,953146
922,58,3,172.63,8733,454363
923,54,6,688.08,5569,70569
924,51,17,1253.5,7052,817261
925,23,7,2113.18,5182,340275
926,51,7,2200.21,9700,577769
927,39,18,1667.49,9018,859300
928,49,16,659.72,7140,128847
929,26,6,362.36,6767,143609
930,24,6,1733.01,9746,33091
931,32,7,2219.12,6070,798036
932,25,17,72.68,7528,15131
933,46,13,1438.58,6023,204857
934,35,10,2660.45,5685,758750
935,40,16,2917.12,6875,870932
936,27,0,2890.59,7533,736352
937,31,13,1851.39,5095,458134
